run,step,training_hours,cfg_scale,fid
imagenet64_riesz_minyuan_power_top20,30000,,2.5,30.10312245790277
imagenet64_riesz_minyuan_power_top20,40000,,2.5,29.342588800148008
imagenet64_riesz_minyuan_power_top20,50000,,2.5,28.944695850451865
imagenet64_riesz_minyuan_power_top20,60000,,2.5,28.135254922746128
imagenet64_riesz_minyuan_power_top20,70000,,2.5,27.83521542759928
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,10000,3.539529486934779,2.0,36.95001947896924
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,20000,7.079058973869558,2.0,33.706377002797865
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,30000,10.618588460804338,2.0,32.18088040577504
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,40000,14.158117947739116,2.0,31.381735689871334
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,50000,17.697647434673897,2.0,30.967997633855077
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,60000,21.237176921608675,2.0,30.56793864461349
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,70000,24.776706408543454,2.0,30.115653475035117
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,80000,28.316235895478233,2.0,29.698885587004384
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,90000,31.855765382413015,2.0,29.979028758890195
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,100000,35.395294869347794,2.0,29.77702915041408
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,110000,38.934824356282576,2.0,29.401817167782553
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,120000,42.47435384321735,2.0,29.311641396839377
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,130000,46.01388333015213,2.0,29.0741433999184
